GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0051560,4603.423078,4109.0881043186,2254.7689333158,6534.6312874954,13349.6928302193,2474.32703826,1243.197322471,2735.3571742152,6430.608209528999,1442.46747089474,2629.775665508,7938.9636266175,2638.7622931248,1282.8803973128,3248.9402803845,2523.8985428846,4611.236686038,1595.47313079056,6308.809031742
GO:0051561,740.7982840000001,903.6636777036,280.38217451112,2315.429619517,3810.4589617974,609.599564805,380.7220028525,1274.81148458226,3575.7517935768,353.28435255469,863.5776497255999,2284.8934683063,783.6428495395201,944.44681184271,1493.56739889513,1546.9274093661,2090.7967438872,175.10189201044,1979.4236247975
GO:0070861,1385.786402,2031.89698138825,1688.6612976189,9898.720375659,3475.2550166928,3050.18412468,1198.167684527,2209.9500730998,4676.6895016139,1596.6241387476,2172.5688172312,3790.5008911374,1592.21364694656,692.3980367758301,2398.4959582233,3272.5676558804,2336.1931677756,267.0633813538,1062.0090325929
GO:0070863,654.8221459999999,1630.00613272662,1327.52478940455,8045.052452102199,2264.7441747888,2447.46612957,449.7317984325,1184.4214670586,3777.4249012312,1058.10206404247,1547.50140784976,2309.2072875678,1274.22674019648,516.45479268163,1817.72381747385,983.38011509306,1690.0836918032,157.800131465844,774.2997081976799
GO:0070973,239.978926,277.1521781199449,150.518223323457,375.84473029524,216.884193451227,287.34331626,130.62233226205,504.3708046983001,975.4520431575,200.01843707602,193.77625772184,516.69184001514,167.846242268256,386.60790974498,359.03373483237,243.39451123566,1084.17080016148,38.885702232352,88.85238652027499
GO:0071556,7886.460814,1030.15316639086,561.2800557312299,3153.9303133626,8151.4640918835,31883.41013549999,5576.04217751,5315.9260035108,6160.0343525681,6957.0468700744,650.821532588,8831.8673639541,4023.402727344,993.5909255448,1081.85177724624,7525.818087184401,5577.2622285424,1605.77912214236,1608.4357909179
GO:0097038,690.4824319999999,1145.6818382362,1265.15331909846,6185.635220351,3015.9690578802,2311.21817619,785.6366024725,1322.41395480492,2109.33774124156,1737.69720023988,2404.1793812744,4058.9291387262,871.0102372473601,917.16900802087,4011.0870991503,1314.72540206974,1915.369781212,157.26718262752,1969.9887213699
GO:0098553,7886.460814,1030.15316639086,561.2800557312299,3153.9303133626,8151.4640918835,31883.41013549999,5576.04217751,5315.9260035108,6160.0343525681,6957.0468700744,650.821532588,8831.8673639541,4023.402727344,993.5909255448,1081.85177724624,7525.818087184401,5577.2622285424,1605.77912214236,1608.4357909179
GO:1903069,498.38472,954.7982499697902,314.52988434516,953.44045755922,947.97606991401,1000.406596497,418.494983592,1367.39819141088,3190.34683998011,357.64084426472,736.02028674344,971.35369509429,536.5066364534399,533.6438382836,670.50347010114,1477.36627387502,1995.4422996336,142.38485534263998,561.2228421891
GO:1903071,498.38472,876.02650057616,268.76320129527,906.40704650582,875.61069699033,930.812558676,392.3208698845,1319.8336456482,3135.9264099721504,302.60677895008,675.2835145,971.25876783753,496.0140514598399,532.70112850988,610.07548486794,1412.40030820904,1951.1967313272,136.195389979472,491.08024339878
GO:1904152,968.699496,543.66635138512,643.62442013397,1737.36555939004,1248.28996957245,1032.658524513,723.278395779,1203.33500783964,1806.01355110698,571.10743227933,734.0230516764,1790.60260037043,431.0782731475201,573.5122539864301,786.31814032863,2377.638656404,1550.3361436288,134.181659779404,257.90690375079
GO:1904154,253.584256,285.905441883545,202.10072184357,366.12598741906,133.93768191156,429.940528941,75.46060291584999,383.00222847684,1042.91530945786,140.712680311682,203.44765005952,524.1811727357999,213.933363674688,404.96352736147,319.22143144749,208.42415724819,1093.12747260032,34.414146985148,7.393115925077399
GO:1904292,1476.345388,1745.92986437723,1062.10145728533,2811.2238914424,2718.6234027201,2258.745899718,1291.3980317,2906.1350653698,4439.5730391133,1135.24999319985,1615.3984958552,2760.5097224232,1267.67409217824,970.36064417831,1452.16572770607,4066.2965980358,2927.5534988268,304.56325808316,1280.4059073498
GO:1904294,691.2462400000001,1409.39720562852,583.16365129902,1392.95090765714,1530.05286974679,1653.564203214,590.1427050645,1981.8422774526,3563.94212927,649.82117596634,1025.46400466728,1488.2874256245,1029.97656120096,824.33903056483,951.96762935976,1764.95062580648,2365.7527766104,192.36082284692,878.3166553937999
