GO,Tdro,Ajap,Pvin,Pqin,Tele,Gfla,Lhet,Cchi,Asoj,Nvit,Ppup,Acal,Aful,Csol,Pven,Lbou,Hheb,Btre,Vvel
GO:0034613,251063.069006,444166.52079168,170832.23068329,268580.43317524,264267.05255667,131748.4926681,101070.3402134,177971.7865488,591384.7986141801,237494.843364745,325482.7957116,428536.15758927,287272.12217664,36839.897584413,232664.04251376,223324.97395668,255058.67259272,34674.311304412,114802.2112209
GO:0042886,240381.83472,430465.65414501,152444.42207544,245934.28792988,242105.84198577,116463.6690987,93508.36059235,149327.08649502,567972.5507346899,228387.402404509,309312.38461704,406355.8774373999,278870.0981376001,33154.753270826,208153.04943537,150256.443081536,241808.36768676,31202.014019144,89753.42070090899
GO:0043170,475270.69647,854945.68461349,452980.9502519401,620504.2092477,728327.76590862,330400.146846,333783.650103,476361.60581982,961906.14843304,653621.9062655501,582185.88439176,766818.9226427401,584791.1255596799,167885.03572819,462218.80553355,428393.75106366,439088.61435952,68867.396386872,288195.30958995
GO:0043226,666375.267118,982927.2673593,462803.89912713,870552.58560946,1011635.20377981,484998.917634,404796.922577,663112.15497444,1154095.06987673,603010.88097412,806575.20269976,1126950.81021321,666265.729512,349846.42800063,707184.5137656,759298.7372260401,574969.53998784,122591.987960772,510916.47974388
GO:0043227,554315.99294,768536.6340355,350239.97778627,763056.9642300999,850280.1845253301,449223.826359,363535.364026,551291.88479412,830272.8108618199,493172.48301812,605379.28764744,907162.09540335,537271.2939408,334740.5368732701,584282.0981017799,688507.59030906,456391.431288,111832.122926936,441856.40387721
GO:0043228,420110.201278,694917.27552235,299461.58676984,431756.1354121,611660.6888211899,142499.1824025,143554.76158765,312338.4585334201,873279.0180819901,314016.83456854,538653.0740552,674532.2688522901,428978.08133568,135650.78126897,381490.98970359,287620.47053478,363944.66826436,49160.740921116005,253238.95861257
GO:0043229,663872.31604,980682.50806686,461665.20234054,865922.9136666,1008588.01054662,482981.3148929999,404197.127642,631671.9190902001,1152893.92235461,602078.1529359199,804903.82270784,1122226.12865943,664292.89585056,348418.70219926,704722.03889997,755506.3854064401,573442.23839216,122164.181609904,495141.2616717
GO:0043231,543155.612348,742498.62592005,336582.81119067,730285.38289526,798591.81148947,436725.486813,356575.3618535,505627.5930661199,811821.96298195,461245.43552693,581206.3111495199,881875.3941307501,503433.2842377599,329882.65031612,567603.21308106,485723.45079812,443990.71143632,110202.407844524,413688.8838694501
GO:0043232,420110.201278,694917.27552235,299461.58676984,431756.1354121,611660.6888211899,142499.1824025,143554.76158765,312338.4585334201,873279.0180819901,314016.83456854,538653.0740552,674532.2688522901,428978.08133568,135650.78126897,381490.98970359,287620.47053478,363944.66826436,49160.740921116005,253238.95861257
GO:0043233,296738.882882,466206.9209019199,194177.62818432,388341.82573054,419002.59867525,248380.560813,231670.6681455,271189.1719893,500363.900374178,286013.8564518,330638.60672512,467000.50992138,315339.2259456,230592.45333674,319084.9029966,271179.90776728,254014.93261404,76842.643546064,234413.67983208
